1600	{14177,14177,14601,14601,18364,18364,19577,19577,19578,19578,23931,23931,23932,23932}
3079	{15,15,460,786,933,1046,1046,1046,3442,3442,3442,10642,18458,18458,18458,21939,21939,21939}
364	{300,300,427,427,460,460,473,694,1079,1079,1081,2031,2031,3214,10642,10682,10682,13238,13743,16486,16486,18656}
2264	{257,257,300,300,300,1021,1022,1022,1022,1047,1047,4251,4251,4251,4251,4632,5998,7991,7995,7995,7995,9186,9186,9488,9488,9709,10757,12549,12549,12549,14174,14174,17849,17849,17849,18364,18364,18490,18490,18490,18490,18854,18854,21911,22531,24140,24140,24502}
1501	{148,460,460,581,590,590,591,603,603,715,715,934,934,992,992,993,993,1004,1004,1004,1005,1005,1005,1010,1010,1010,1017,1017,1036,1411,1450,1450,1450,1450,1450,1450,1450,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,2166,2234,2234,2298,2298,2565,2730,2857,2929,2929,2945,2945,3001,3023,3023,4022,4022,4267,4557,4607,4607,5092,5092,5184,5184,5184,5199,5410,6090,6090,6365,6513,6714,7281,7907,8713,8728,8730,8882,9182,9182,9694,12353,12450,12678,12741,13137,13236,13236,13256,14162,14162,14419,14707,14707,15027,15027,15027,15496,15496,15496,15516,15516,16800,16800,16800,19040,19565,19565,19566,19566,19566,19566,19567,19567,19567,19567,19568,19568,19568,19568,19569,19569,19569,19569,19569,19569,19569,19570,19570,20411,20411,20419,20419,20422,20426,20802,20802,21344,21344,21361,21362,21363,21363,21363,21527,21803,21803,21862,21862,21862,21862,21886,21886,21890,21890,22351,22382,22501,23060,23060,23192,23222,23417,23418,24694,24694,24695,24695}
889	{1851,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851}
646	{242,1255,1274,7966,7966,8409,8409,8441,8441,15019,15019}
2199	{947,1526,2121,2127,2853,21862,21863,23020,23546,23547,25328,25329,25330,25331}
1900	{4948,6300,11374,14415,19103,21753,21753,22726,22726,24744,24745,24806}
1474	{413,604,618,862,1547,2180,2180,2411,2480,2480,2480,2480,2747,3027,3781,3781,3822,5693,5694,5694,5694,7473,9656,9935,10352,13002,13962,21684,21763,22501,22501,23116,23212,23212,23212,23212,23212,23222,23223,23229,24576,24576,24664,24664,24680,24712,24714,24714,24718,24719,24728,24783,24993,24994,24995,24996,24996,24996,24996,24996,25010,25014,25015}
748	{581,591,594,608,1004,2406,8354,20917,20918,21846}
641	{19783,19784,20254}
2254	{473,473,19235,19235}
118	{16,237,237,270,298,300,300,301,301,355,412,412,428,428,434,473,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017,1021,1021,1022,1022,1022,1022,1022,1022,1047,1047,1047,1047,1079,1079,1079,1079,1079,1079,1079,1080,1080,1170,1688,2945,2945,2945,2945,2947,2949,2955,2956,2958,2960,2972,3221,3222,3462,4278,4587,4595,4657,4729,4927,4948,5844,5844,6426,7114,7114,7118,7134,7134,7134,7135,7135,7135,7135,7146,7146,7146,7418,7429,7432,7715,7766,7786,7786,7837,7907,7956,7956,7980,8340,8386,8389,8499,9997,9997,9997,9997,9997,9997,9997,10197,10682,10682,11047,11783,11793,11796,12075,15507,15507,15507,15507,18657,18657,18657,18657,18682,18682,18887,19024,19235,19235,19235,19243,19243,19243,19243,19364,19364,19364,19364,19364,19364,19540,19757,19757,19757,19784,19846,19846,19846,19877,19936,19936,19936,19936,20246,20251,20254,20402,20592,20782,20782,20782,20782,20812,20812,21252,21253,21330,21330,21330,21454,21459,21650,21650,21651,21651,21663,21746,21747,21756,21756,21783,21796,21796,21796,21799,21904,21904,21912,21912,21916,21917,21918,21919,21920,21921,21922,21923,21952,21952,21952,21954,21954,21954,21954,21970,22274,22275,22276,22450,22978,23110,23110,23114,23114,23114,23130,23143,23164,23167,23167,23190,23659,23855,23983,24183,24234,24235,24303,24313,24313,24313,24314,24314,24314,24315,24315,24316,24316,24317,24317,24401,24453,24737}
1606	{7325,7325,7325,7325,7325}
797	{434,1014,1016,1016,1017,1019,1021,1021,1022,1022,1047,1047,1047,1047,2958,4640,5522,6910,6910,6910,6910,6910,6910,6910,6910,6910,6910,6910,6910,6910,7124,7146,7678,7678,7678,7678,7851,8413,10465,13396,13429,14952,15395,15507,15896,16622,18395,19364,20750,21351,22316}
209	{1052,1249,1249,1336,1336}
450	{15,255,255,322,327,412,430,430,1046,1047,1230,18659,18854,18854,19577}
1036	{2,2235,2235,4607,4772,4772,7379,7379,10042,10042,10042,12471,18657,18657,21126,21126,21126,21796,21796,21796}
