id	name
834	Продукционные системы
835	Семантические сети
839	Логическое программирование
847	Нечеткие системы
848	Нечеткие множества
854	Интеллектуальный анализ данных
856	Нейронные сети
857	Задачи нейронных сетей
858	Обучение нейронных сетей
859	Алгоритмы обучения нейронной сети
860	Машинное обучение и анализ данных
861	Статистика
862	Анализ данных
863	Классификация моделей
864	Классификация методов машинного обучения
867	Методы построения
869	Методы отбора признаков
872	Кросс-валидация
878	Дилемма смещения-разброса
879	Метод наименьших квадратов (МНК)
882	Переобучение
883	Регуляризация
894	Метод опорных векторов (SVM)
898	Градиентный бустинг на решающих деревьях
899	Области применения искусственных нейронных сетей
902	Перцептрон Розенблатта
908	Ограниченные машины Больцмана
912	Глубокое обучение
914	Сверточные нейронные сети
915	Рекуррентные нейронные сети
916	Кибербезопасность
917	Свойства информации
918	Аутентификация пользователей
919	Организационно-правовые вопросы в области защиты информации
920	Защита персональных данных
921	Организация безопасности обработки и передачи информации
922	Криптография
926	Вирусология
928	Сетевые протоколы безопасности
930	Технические средства защиты информации
931	Управление информационной безопасностью
933	Методы и средства программного обеспечения
934	Жизненный цикл ПО
935	Подходы и методы разработки ПО
936	Управление требованиями к программному обеспечению
937	Анализ рисков разработки ПО
938	UML
939	Средства и методы контроля изменений
940	Средства и методы автоматизированной сборки
941	Модульное тестирование ПО
942	Интеграционное тестирование ПО
943	Системное тестирование ПО
944	Анализ производительности ПО и систем
946	Профилирование программных систем
947	Unix/Linux системы в инфокоммуникациях
948	Свободное программное обеспечение
949	Операционная система Linux
950	Системное администрирование
951	Сетевые функции в Linux
952	Удаленный доступ
953	Разработка приложений
954	Современные инструменты анализа данных
955	Аналитика данных
956	Big Data
957	Data Science
958	Источники данных
959	Разведочный анализ данных
960	BI-технологии
961	Закономерности развития процессов
964	Кластерный анализ
968	Обеспечение безопасности при доступе к данным
969	Язык программирования Python
970	Создание простых модульных программ на языке Python
972	Киберфизические системы
973	Промышленная автоматизация
974	Датчики
975	Исполнительные устройства
976	Облачные вычисления
977	Беспроводные сети
978	Протоколы передачи данных
980	Теория автоматического управления
981	Системы управления
982	Классификация систем управления
983	Математические модели технических систем
986	Временные характеристики систем управления
987	Частотные характеристики систем
988	Устойчивость динамических систем
989	Точностные свойства систем управления
990	Пропорционально-интегрально-дифференциальный регулятор
991	Модальное управление
992	Дифференциальное исчисление
993	Интегральное исчисление
994	Комплексные числа
1001	Регулирование технологий
1003	Инновационный маркетинг
1004	Современные концепции маркетинга
1005	Маркетинговые исследования
1006	Методы маркетингового анализа
1007	Модели маркетингового анализа
1008	Сегментирование рынка
1010	Элементы маркетинг-микса
1012	Маркетинг инноваций
1014	Лазерные технологические системы
1015	Процессы лазерной обработки материалов
1016	Лазерное технологическое оборудование
1017	Физическая оптика
1019	Законы распространения света
1021	Геометрическая оптика
1022	Волновая оптика
1023	Оптические поля высокой когерентности
1026	Науки о жизни
1027	Потребности организма в пищевых веществах
1028	Физиологические нормы потребления
1029	Суточные энерготраты человека
1030	Принципы рационального питания
1032	Теории и концепции питания
1033	Взаимосвязь питания и здоровья человека
1035	Пищевое поведение человека
1036	Поддержание здоровья
1037	Безопасность сырья и пищевых продуктов
1038	Пути попадания вредных веществ в пищевые продукты
1041	Инновационные технологии
1042	Инновационные ингредиенты в пищевых технологиях
1043	Персонифицированная диета
1045	Обнаружение фальсификации пищевой продукции
1046	Дискретная математика
1047	Физика
1048	Низкотемпературная техника
1049	Низкотемпературная физика в промышленности
1050	Технологии пищевой промышленности
1051	Системы кондиционирования и жизнеобеспечения
1052	Тепловые насосы
1053	Кондиционирование транспортных средств
1055	Технологии сжиженного природного газа
1056	Сжижение и разделение воздуха
1057	Использование компонентов воздуха в отраслях промышленности
1059	Криогенные технологии
1068	Низкотемпературные технологии в строительстве
1069	Низкотемпературные технологии в электроэнергетике
1074	Низкотемпературная экология
1076	Язык программирования С/С++
1077	Информационные системы и технологии
1079	Линейная алгебра
1080	Математический анализ
