id	entity_name	domain_id
777	Обеспечение целостности данных	17
778	Перспективные направления развития БД	17
779	Хранилища данных	17
785	Механизмы доступа к данным	17
786	Архитектура СУБД	17
796	Системы баз данных	17
804	Объектная модель данных	17
809	Реляционная модель БД	17
818	Администрирование реляционных БД	17
824	Распределенные БД	17
826	Интеллектуальные технические системы	17
827	Инженерия знаний	14
828	Экспертные системы	14
829	Базы знаний	17
833	Модели представления знаний	17
834	Продукционные системы	17
835	Семантические сети	17
839	Логическое программирование	50
847	Нечеткие системы	17
848	Нечеткие множества	17
854	Интеллектуальный анализ данных	14
856	Нейронные сети	14
857	Задачи нейронных сетей	17
858	Обучение нейронных сетей	17
859	Алгоритмы обучения нейронной сети	17
860	Машинное обучение и анализ данных	14
861	Статистика	14
862	Анализ данных	14
863	Классификация моделей	14
864	Классификация методов машинного обучения	14
867	Методы построения	14
869	Методы отбора признаков	14
872	Кросс-валидация	14
878	Дилемма смещения-разброса	14
879	Метод наименьших квадратов (МНК)	11
882	Переобучение	14
883	Регуляризация	14
894	Метод опорных векторов (SVM)	14
898	Градиентный бустинг на решающих деревьях	14
899	Области применения искусственных нейронных сетей	14
902	Перцептрон Розенблатта	14
908	Ограниченные машины Больцмана	14
912	Глубокое обучение	14
914	Сверточные нейронные сети	14
915	Рекуррентные нейронные сети	14
916	Кибербезопасность	180
917	Свойства информации	17
918	Аутентификация пользователей	17
919	Организационно-правовые вопросы в области защиты информации	180
920	Защита персональных данных	17
921	Организация безопасности обработки и передачи информации	33
922	Криптография	180
926	Вирусология	180
928	Сетевые протоколы безопасности	17
930	Технические средства защиты информации	180
931	Управление информационной безопасностью	180
933	Методы и средства программного обеспечения	17
934	Жизненный цикл ПО	17
935	Подходы и методы разработки ПО	50
936	Управление требованиями к программному обеспечению	17
937	Анализ рисков разработки ПО	50
938	UML	17
939	Средства и методы контроля изменений	17
940	Средства и методы автоматизированной сборки	17
941	Модульное тестирование ПО	17
942	Интеграционное тестирование ПО	17
943	Системное тестирование ПО	17
