ОП;ИД ОП;Название индикатора;ИД индикатора;Название компетенции;ИД компетенции;Название группы компетенций;Тип компетенции;Профессиональный стандарт;Сфера;ИД РПД;ИД РПД;ИД РПД
;2308;ПК-С1.5.1. Способность проектировать и реализовывать программные решения с применением методов функционального, автоматного и эволюционного программирования;;ПК-С1.5. Способность определять эффективный способ решения прикладных задач с применением информационных технологий и программной инженерии, разрабатывать и внедрять соответствующие программные решения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.5.2. Способность проектировать и реализовывать мобильные и web-приложения;;ПК-С1.5. Способность определять эффективный способ решения прикладных задач с применением информационных технологий и программной инженерии, разрабатывать и внедрять соответствующие программные решения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.6.1. Способен проектировать и реализовывать параллельные и распределенные программные системы;;ПК-С1.6. Способностью проектировать и реализовывать сложные программные системы и комплексы, в том числе высоконагруженные, распределенные и масштабируемые гетерогенные системы;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.6.2. Способен применять алгоритмы и структуры данных для эффективной реализации высоконагруженных систем;;ПК-С1.6. Способностью проектировать и реализовывать сложные программные системы и комплексы, в том числе высоконагруженные, распределенные и масштабируемые гетерогенные системы;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С3.2.1 Способен руководить и осуществлять разработку математических моделей и алгоритмов в предметной области;;ПК-С3.2. Способен разрабатывать и применять методы математического моделирования;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С3.2.2 Способен проводить анализ и оценку границ применения результатов математического моделирования;;ПК-С3.2. Способен разрабатывать и применять методы математического моделирования;;Профессиональные компетенции;Профессиональные компетенции;;;;;
2018 Вычислительные системы и сети;2327;ПК-1.1 Анализирует требования к программному обеспечению;;ПК-1. Способен разрабатывать требования и проектировать программное обеспечение;;Профессиональные компетенции;Профессиональные компетенции;06.001 «Программист»;;;;
;2327;ПК-1.2 Разрабатывает технические спецификации на программные компоненты и их взаимодействие;;ПК-1. Способен разрабатывать требования и проектировать программное обеспечение;;Профессиональные компетенции;Профессиональные компетенции;06.001 «Программист»;;;;
;2327;ПК-1.3 Проектирует программное обеспечение;;ПК-1. Способен разрабатывать требования и проектировать программное обеспечение;;Профессиональные компетенции;Профессиональные компетенции;06.001 «Программист»;;;;
;2327;ПК-2.1 Планирует разработку или восстановление требований к системе ;;ПК-2. Способен осуществлять концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности;;Профессиональные компетенции;Профессиональные компетенции;06.022 «Системный аналитик»  ;;;;
;2327;ПК-2.2 Анализирует проблемные ситуации заинтересованных лиц;;ПК-2. Способен осуществлять концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности;;Профессиональные компетенции;Профессиональные компетенции;06.022 «Системный аналитик»  ;;;;
;2327;ПК-2.3 Определяет цели создания системы;;ПК-2. Способен осуществлять концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности;;Профессиональные компетенции;Профессиональные компетенции;06.022 «Системный аналитик»  ;;;;
;2327;ПК-2.4 Разрабатывает концепцию системы;;ПК-2. Способен осуществлять концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности;;Профессиональные компетенции;Профессиональные компетенции;06.022 «Системный аналитик»  ;;;;
;2327;ПК-2.5 Разрабатывает техническое задание на систему;;ПК-2. Способен осуществлять концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности;;Профессиональные компетенции;Профессиональные компетенции;06.022 «Системный аналитик»  ;;;;
;2327;ПК-3.1 Настраивает сетевые элементы коммуникационной системы;;ПК-3. Способен администрировать сетевую подсистему инфокоммуникационной системы организации;;Профессиональные компетенции;Профессиональные компетенции;06.026 «Системный администратор информационно-коммуникационных систем»;;;;
;2327;ПК-3.2 Контролирует использование ресурсов сетевых устройств и программного обеспечения;;ПК-3. Способен администрировать сетевую подсистему инфокоммуникационной системы организации;;Профессиональные компетенции;Профессиональные компетенции;06.026 «Системный администратор информационно-коммуникационных систем»;;;;
;2327;ПК-3.3 Управляет безопасностью сетевых устройств и программного обеспечения;;ПК-3. Способен администрировать сетевую подсистему инфокоммуникационной системы организации;;Профессиональные компетенции;Профессиональные компетенции;06.026 «Системный администратор информационно-коммуникационных систем»;;;;
;2327;ПК-3.4 Диагностирует отказы и ошибки сетевых устройств и программного обеспечения;;ПК-3. Способен администрировать сетевую подсистему инфокоммуникационной системы организации;;Профессиональные компетенции;Профессиональные компетенции;06.026 «Системный администратор информационно-коммуникационных систем»;;;;
;2327;ПК-3.5 Контролирует производительность сетевой инфраструктуры инфокоммуникационной системы;;ПК-3. Способен администрировать сетевую подсистему инфокоммуникационной системы организации;;Профессиональные компетенции;Профессиональные компетенции;06.026 «Системный администратор информационно-коммуникационных систем»;;;;
;2327;ПК-4.1 Выявляет, согласовывает и утверждает требования к ИС;;ПК-4. Способен выполнять работы по созданию и сопровождению ИС;;Профессиональные компетенции;Профессиональные компетенции;06.015 «Специалист по информационным системам»;;;;
;2327;ПК-4.2 Разрабатывает модели бизнес-процессов организации ;;ПК-4. Способен выполнять работы по созданию и сопровождению ИС;;Профессиональные компетенции;Профессиональные компетенции;06.015 «Специалист по информационным системам»;;;;
;2327;ПК-4.3 Разрабатывает базы данных и архитектуру ИС;;ПК-4. Способен выполнять работы по созданию и сопровождению ИС;;Профессиональные компетенции;Профессиональные компетенции;06.015 «Специалист по информационным системам»;;;;
;2327;ПК-4.4 Выполняет проектирование, кодирование и тестирование приложений ИС;;ПК-4. Способен выполнять работы по созданию и сопровождению ИС;;Профессиональные компетенции;Профессиональные компетенции;06.015 «Специалист по информационным системам»;;;;
;2327;ПК-4.5 Участвует в создании пользовательской документации;;ПК-4. Способен выполнять работы по созданию и сопровождению ИС;;Профессиональные компетенции;Профессиональные компетенции;06.015 «Специалист по информационным системам»;;;;
;2327;ПК-5.1 Определяет требования к тестам, разрабатывает тестовые случаи и тестовые документы, включая план тестирования;;ПК-5. Способен разрабатывать тестовые случаи и документы, проводить тестирование и исследование результатов;;Профессиональные компетенции;Профессиональные компетенции;06.004 «Специалист по тестированию в области информационных технологий»;;;;
;2327;ПК-5.2 Проводит тестирование по разработанным тестовым случаям;;ПК-5. Способен разрабатывать тестовые случаи и документы, проводить тестирование и исследование результатов;;Профессиональные компетенции;Профессиональные компетенции;06.004 «Специалист по тестированию в области информационных технологий»;;;;
;2327;ПК-5.3 Проводит восстановление тестов после сбоев, повлекших за собой нарушение работы системы;;ПК-5. Способен разрабатывать тестовые случаи и документы, проводить тестирование и исследование результатов;;Профессиональные компетенции;Профессиональные компетенции;06.004 «Специалист по тестированию в области информационных технологий»;;;;
;2327;ПК-5.4 Анализирует результаты тестирования, проводит оценку тестов;;ПК-5. Способен разрабатывать тестовые случаи и документы, проводить тестирование и исследование результатов;;Профессиональные компетенции;Профессиональные компетенции;06.004 «Специалист по тестированию в области информационных технологий»;;;;
;2327;ПК-С1.1.1 Разрабатывает системные утилиты;;ПК-С1.1 Способен разрабатывать компоненты системных программных продуктов;;Профессиональные компетенции;Профессиональные компетенции;06.028 «Системный программист»;;;;
;2327;ПК-С1.1.2 Разрабатывает драйвера устройств ввода-вывода;;ПК-С1.1 Способен разрабатывать компоненты системных программных продуктов;;Профессиональные компетенции;Профессиональные компетенции;06.028 «Системный программист»;;;;
;2327;ПК-С2.1.1 Разрабатывает системные утилиты;;ПК-С2.1 Способен разрабатывать компоненты системных программных продуктов;;Профессиональные компетенции;Профессиональные компетенции;06.028 «Системный программист»;;;;
;2327;ПК-С2.2.1 Оптимизирует выполнение запросов и производительность базы данных;;ПК-С2.2 Способен оптимизировать функционирование базы данных, предотвращать потери и повреждения данных;;Профессиональные компетенции;Профессиональные компетенции;06.011 «Администратор баз данных»;;;;
;2327;ПК-С2.2.2 Разрабатывает регламенты, и автоматические процедуры резервного копирования базы данных;;ПК-С2.2 Способен оптимизировать функционирование базы данных, предотвращать потери и повреждения данных;;Профессиональные компетенции;Профессиональные компетенции;06.011 «Администратор баз данных»;;;;
;2327;ПК-С2.2.3 Выполняет восстановление данных после сбоя, анализирует и выявляет причины сбоя;;ПК-С2.2 Способен оптимизировать функционирование базы данных, предотвращать потери и повреждения данных;;Профессиональные компетенции;Профессиональные компетенции;06.011 «Администратор баз данных»;;;;
;2327;ПК-6.1 Разрабатывает модели объектов профессиональной деятельности с учетом предметной области их применения;;ПК-6 Способен моделировать и проектировать объекты профессиональной деятельности с учетом предметной области их применения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-6.2 Анализирует проектные решения и оценивает перспективы их реализации;;ПК-6 Способен моделировать и проектировать объекты профессиональной деятельности с учетом предметной области их применения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-6.3 Разрабатывает проектную документацию;;ПК-6 Способен моделировать и проектировать объекты профессиональной деятельности с учетом предметной области их применения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-6.4 Участвует в процессе разработки объектов профессиональной деятельности;;ПК-6 Способен моделировать и проектировать объекты профессиональной деятельности с учетом предметной области их применения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С1.2.1 Моделирует нейронные сети и нейросетевые вычислительные системы;;ПК-С1.2 Способен разрабатывать программное обеспечение для нейросетевых вычислительных систем;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С1.2.2 Разрабатывает программное обеспечение для нейросетевых вычислительных систем;;ПК-С1.2 Способен разрабатывать программное обеспечение для нейросетевых вычислительных систем;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С1.3.1 Выполняет функционально-логическое моделирование и поведенческое описание функциональных блоков;;ПК-С1.3 Способен разрабатывать электрические схемы и поведенческие описания функциональных блоков;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С1.3.2 Разрабатывает техническую документацию;;ПК-С1.3 Способен разрабатывать электрические схемы и поведенческие описания функциональных блоков;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С1.3.3 Разрабатывает электрические схемы функциональных блоков;;ПК-С1.3 Способен разрабатывать электрические схемы и поведенческие описания функциональных блоков;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С1.4.1 Применяет системы автоматизированного проектирования объектов профессиональной деятельности;;ПК-С1.4 Способен применять системы автоматизированного проектирования объектов профессиональной деятельности;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С1.4.2 Участвует в процессе сертификации объектов профессиональной деятельности;;ПК-С1.4 Способен применять системы автоматизированного проектирования объектов профессиональной деятельности;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С2.3.1 Выполняет функционально-логическое моделирование и поведенческое описание функциональных блоков;;ПК-С2.3 Способен разрабатывать электрические схемы и поведенческие описания функциональных блоков;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С2.3.2 Разрабатывает техническую документацию;;ПК-С2.3 Способен разрабатывать электрические схемы и поведенческие описания функциональных блоков;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С2.4.1 Применяет сетевые технологии интернета вещей;;ПК-С2.4 Способен применять сетевые технологии интернета вещей, облачные и туманные вычисления;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2327;ПК-С2.4.2 Применяет облачные и туманные вычисления;;ПК-С2.4 Способен применять сетевые технологии интернета вещей, облачные и туманные вычисления;;Профессиональные компетенции;Профессиональные компетенции;;;;;
2018 Программирование и интернет-технологии;2333;ПК-1.1. Способен осуществлять формализацию и алгоритмизацию поставленных задач.;;ПК-1. Способен создавать, программный код, осуществлять его оформление и отладку;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
;2333;ПК-1.2 Способен создавать программный код с использованием языков программирования, определения и манипулирования данными.;;ПК-1. Способен создавать, программный код, осуществлять его оформление и отладку;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
